country,province,variety,avg_points,avg_price
Italy,Central Italy,Sauvignon Blanc,85.00,17.67
Australia,South Australia,Sauvignon Blanc,87.34,17.63
Australia,Western Australia,Sauvignon Blanc,87.20,17.40
Italy,Central Italy,Syrah,86.67,17.33
France,Bordeaux,Sauvignon Blanc,86.55,17.21
France,Southwest France,Chardonnay,87.06,17.06
Spain,Levante,Chardonnay,84.00,17.00
US,Washington,Sauvignon Blanc,87.71,16.75
Australia,Victoria,Sauvignon Blanc,85.75,16.75
Italy,Tuscany,Sauvignon Blanc,86.00,16.50
France,Languedoc-Roussillon,Chardonnay,86.26,16.26
France,Burgundy,Sauvignon Blanc,85.33,15.83
France,Loire Valley,Chardonnay,85.64,15.29
Spain,Northern Spain,Chardonnay,84.38,15.20
Italy,Southern Italy,Sauvignon Blanc,84.00,15.00
US,Connecticut,Chardonnay,84.00,15.00
Spain,Northern Spain,Sauvignon Blanc,85.06,14.71
Australia,New South Wales,Cabernet Sauvignon,88.33,14.00
Italy,Southern Italy,Chardonnay,85.56,14.00
US,Ohio,Chardonnay,85.50,14.00
Argentina,Mendoza Province,Sauvignon Blanc,84.35,13.95
US,Idaho,Cabernet Sauvignon,85.50,13.00
France,Languedoc-Roussillon,Syrah,86.08,12.83
France,Languedoc-Roussillon,Sauvignon Blanc,84.75,12.75
US,Idaho,Chardonnay,84.50,12.50
France,Provence,Pinot Noir,86.00,12.00
US,Ohio,Cabernet Sauvignon,84.00,12.00
France,Languedoc-Roussillon,Pinot Noir,84.56,11.68
Spain,Levante,Sauvignon Blanc,84.67,11.67
Italy,Sicily & Sardinia,Pinot Noir,85.50,11.00
Italy,Southern Italy,Syrah,86.00,11.00
Spain,Central Spain,Sauvignon Blanc,82.55,10.73
US,Idaho,Syrah,86.00,10.00
France,Languedoc-Roussillon,Cabernet Sauvignon,84.15,9.90
Spain,Central Spain,Chardonnay,82.33,9.33
Spain,Levante,Cabernet Sauvignon,85.75,8.75
